Time(per),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
35.8,29767679,49,607503.7,607358.0,603295,611294,2093.4,gemv2T_kernel_val
28.8,23925925,882,27126.9,29728.0,11072,41120,11735.2,gemvx::kernel
13.8,11448071,294,38939.0,38816.0,37920,41856,598.8,gemvx::kernel
4.9,4101720,300,13672.4,13343.5,11680,17696,1471.4,AttentionKernel
3.3,2701338,650,4155.9,4128.0,3904,4416,88.4,vectorized_layer_norm_kernel
1.7,1399102,950,1472.7,1504.0,1344,2048,72.1,vectorized_elementwise_kernel
1.5,1258525,1,1258525.0,1258525.0,1258525,1258525,0.0,sgemm_largek_lds64
1.5,1256511,576,2181.4,2144.0,1792,2976,233.7,CatArrayBatchedCopy_aligned16_contig
1.4,1172222,900,1302.5,1312.0,1248,1664,37.5,vectorized_elementwise_kernel
1.0,818976,50,16379.5,16400.0,14848,16864,330.8,reduce_kernel
0.5,427648,300,1425.5,1440.0,1376,1504,22.7,ectorized_elementwise_kernel
0.5,422687,300,1409.0,1408.0,1376,1504,25.8,vectorized_elementwise_kernel
0.5,399902,300,1333.0,1312.0,1280,1696,52.1,vectorized_elementwise_kernel
